title,authors,venue,year,type,link,featured
513Chapter 19 Various elements of a potential hydrogen system in Saudi Arabia,Manzar Fawad; Scott Whattam; Abdullah Alqubalee; Ahmed Al‐Yaseri,,2025,book-chapter,https://doi.org/10.1515/9783111437040-019,
Contact morphology of sand particles in dunes,Fernando Alonso-Marroquin; Sarmad Zafar Khan; Abdullah Alqubalee; Péter Móra; Abdullatif Al‐Shuhail,Scientific Reports,2025,article,https://doi.org/10.1038/s41598-025-15888-8,
Integrative Dashboard (IDB),Abdullah Alqubalee,Zenodo (CERN European Organization for Nuclear Research),2025,other,https://doi.org/10.5281/zenodo.18027324,
WIIP: An Approach for Leveraging Geological Data Heterogeneity through Customization of Open- Source Software,Abdullah Alqubalee,,2025,article,https://doi.org/10.13140/rg.2.2.21030.79680,
Controls on mechanical properties of a carbonate mudstone: Insights from non-destructive techniques and geochemical data,Baqer Albensaad; Septriandi A. Chan; John Humphrey; Abdullah Alqubalee; Ammar El‐Husseiny; Yaser Alzayer,Marine and Petroleum Geology,2024,article,https://doi.org/10.1016/j.marpetgeo.2024.106702,
Diagenetic Controls on Reservoir Porosity of Aeolian and Fluvial Deposits: A Case Study from Permo-Carboniferous Sandstones of Saudi Arabia,Abdulwahab Muhammad Bello; Abduljamiu O. Amao; Abdullah Alqubalee; Murtada Al-Hashem; Houssin Albarri; Mohammed Al‐Masrahy; Khalid Al‐Ramadan; Lamidi Babalola,Arabian Journal for Science and Engineering,2024,article,https://doi.org/10.1007/s13369-023-08590-2,
"Diagenetic controls on the quality of shallow marine sandstones: An example from the Cambro-Ordovician Saq Formation, central Saudi Arabia",Abdulwahab Muhammad Bello; Anas Muhammad Salisu; Abdullah Alqubalee; Abduljamiu O. Amao; Murtada Al-Hashem; Abdulkarim Al-Hussaini; Khalid Al–Ramadan,Journal of African Earth Sciences,2024,article,https://doi.org/10.1016/j.jafrearsci.2024.105295,
"Genesis of Grain-Coating Clays and Their Effect on the Development of Feldspar Overgrowths: A Case Study of the Late Cambrian to Early Ordovician Barik Formation Sandstone Reservoir, Haushi-Huqf Region, Central Oman",Mohamed A. K. El‐Ghali; İftikhar Ahmed Abbasi; Olga Shelukhina; Mohamed S. H. Moustafa; Arshad Ali; Osman Salad Hersi; Shahad Al Mahrooqi; Khalid Al–Ramadan; Abdulwahab Muhammad Bello; Hezam Al-Awah; Abdullah Alqubalee,"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",2024,book-chapter,https://doi.org/10.1007/978-3-031-48758-3_8,
"Mineralogy and Geochemistry of the Paleocene–Eocene Palana Formation in Western Rajasthan, India: Insights for Sedimentary Paleoenvironmental Conditions and Volcanic Activity",Mohammed Hail Hakimi; Alok Kumar; Abdullah Alqubalee; Alok K. Singh; Mohammed Almobarky; Afikah Rahim; Mohammad Alqudah; Aref Lashin; Khairul Azlan Mustapha; Waqas Naseem,Minerals,2024,article,https://doi.org/10.3390/min14020126,
"Shift from arc to within-plate magmatism at 635 Ma as recorded by Neoproterozoic dikes, southern Midyan terrane, NW Arabian Shield",Scott Whattam; Robert J. Stern; Hossein Azizi; Keewook Yi; Haitham M. Baggazi; Abdullah Alqubalee; Fatemeh Nouri; Brian R. Jicha; Yanick Brice Lemdjou; Abdelhamid El Fakharani,Precambrian Research,2024,article,https://doi.org/10.1016/j.precamres.2024.107430,
